table_name,estimated_rows,total_table_bytes,table_comment
stdopd2007,17250806,3161333760,Standard Option Price File 2007 (Updated 2025-11-14)
stdopd2008,17978728,3294224384,Standard Option Price File 2008 (Updated 2025-11-14)
stdopd2009,17730064,3248340992,Standard Option Price File 2009 (Updated 2025-11-14)
stdopd2010,18500628,3390038016,Standard Option Price File 2010 (Updated 2025-11-14)
stdopd2011,19876258,3642638336,Standard Option Price File 2011 (Updated 2025-11-14)
stdopd2012,20334440,3726958592,Standard Option Price File 2012 (Updated 2025-11-14)
stdopd2013,21704688,3979214848,Standard Option Price File 2013 (Updated 2025-11-14)
stdopd2014,23126912,4243144704,Standard Option Price File 2014 (Updated 2025-11-14)
stdopd2015,23738992,4355637248,Standard Option Price File 2015 (Updated 2025-11-14)
stdopd2016,24360150,4469170176,Standard Option Price File 2016 (Updated 2025-11-14)
stdopd2017,23706726,4349689856,Standard Option Price File 2017 (Updated 2025-11-14)
stdopd2018,23665254,4345208832,Standard Option Price File 2018 (Updated 2025-11-14)
stdopd2019,23493098,4314316800,Standard Option Price File 2019 (Updated 2025-11-14)
stdopd2020,23640262,4341202944,Standard Option Price File 2020 (Updated 2025-11-14)
stdopd2021,27875448,5119655936,Standard Option Price File 2021 (Updated 2025-11-14)
stdopd2022,31889250,5853822976,Standard Option Price File 2022 (Updated 2025-11-14)
stdopd2023,31938216,5856911360,
stdopd2024,28989700,5409685504,Standard Option Price File 2024 (Updated 2025-11-14)
stdopd2025,18900982,3515392000,Standard Option Price File 2025 (Updated 2025-11-14)
vsurfd1996,179880160,29018701824,Volatility Surface File 1996 (Updated 2025-11-14)
vsurfd1997,217264080,35050348544,Volatility Surface File 1997 (Updated 2025-11-14)
vsurfd1998,246870672,39825391616,Volatility Surface File 1998 (Updated 2025-11-14)
vsurfd1999,256193360,41329729536,Volatility Surface File 1999 (Updated 2025-11-14)
vsurfd2000,234343168,37801394176,Volatility Surface File 2000 (Updated 2025-11-14)
vsurfd2001,218295568,35213049856,Volatility Surface File 2001 (Updated 2025-11-14)
vsurfd2002,222706896,35925467136,Volatility Surface File 2002 (Updated 2025-11-14)
vsurfd2003,208935104,33705607168,Volatility Surface File 2003 (Updated 2025-11-14)
vsurfd2004,224169248,36164485120,Volatility Surface File 2004 (Updated 2025-11-14)
vsurfd2005,247326576,39900946432,Volatility Surface File 2005 (Updated 2025-11-14)
vsurfd2006,266503792,42994286592,Volatility Surface File 2006 (Updated 2025-11-14)
vsurfd2007,293533152,47350906880,Volatility Surface File 2007 (Updated 2025-11-14)
vsurfd2008,306090944,49373315072,Volatility Surface File 2008 (Updated 2025-11-14)
vsurfd2009,301914112,48697376768,Volatility Surface File 2009 (Updated 2025-11-14)
vsurfd2010,314949152,50803359744,Volatility Surface File 2010 (Updated 2025-11-14)
vsurfd2011,338310304,54574317568,Volatility Surface File 2011 (Updated 2025-11-14)
vsurfd2012,346194592,55847419904,Volatility Surface File 2012 (Updated 2025-11-14)
vsurfd2013,369772288,59656740864,Volatility Surface File 2013 (Updated 2025-11-14)
vsurfd2014,393892320,63563513856,Volatility Surface File 2014 (Updated 2025-11-14)
vsurfd2015,404564768,65283244032,Volatility Surface File 2015 (Updated 2025-11-14)
vsurfd2016,416164768,67148701696,Volatility Surface File 2016 (Updated 2025-11-14)
vsurfd2017,405901088,65491247104,Volatility Surface File 2017 (Updated 2025-11-14)
vsurfd2018,403682144,65153073152,Volatility Surface File 2018 (Updated 2025-11-14)
vsurfd2019,400428352,64632635392,Volatility Surface File 2019 (Updated 2025-11-14)
vsurfd2020,403120000,65065369600,Volatility Surface File 2020 (Updated 2025-11-14)
vsurfd2021,474667328,76618588160,Volatility Surface File 2021 (Updated 2025-11-14)
vsurfd2022,543129152,87658414080,Volatility Surface File 2022 (Updated 2025-11-14)
vsurfd2023,545564672,88006770688,
vsurfd2024,535788672,86411288576,Volatility Surface File 2024 (Updated 2025-11-14)
vsurfd2025,349406496,56253546496,Volatility Surface File 2025 (Updated 2025-11-14)
zerocd,304301,25018368,
